id,date,number
2259,"Saturday, October 19, 2013",33 9 56 54 57 5
2258,"Wednesday, October 16, 2013",3 42 26 34 28 28
2257,"Saturday, October 12, 2013",10 58 26 57 8 4
2256,"Wednesday, October 09, 2013",9 38 3 33 19 18
2255,"Saturday, October 05, 2013",11 39 40 17 12 5
2254,"Wednesday, October 02, 2013",6 51 42 4 25 17
2253,"Saturday, September 28, 2013",47 53 14 52 54 5
2252,"Wednesday, September 25, 2013",49 7 17 53 2 23
2251,"Saturday, September 21, 2013",58 54 45 17 12 13
2250,"Wednesday, September 18, 2013",7 10 35 32 22 19
2249,"Saturday, September 14, 2013",1 25 44 17 37 20
2248,"Wednesday, September 11, 2013",19 33 42 52 11 33
2247,"Saturday, September 07, 2013",2 22 19 45 26 24
2246,"Wednesday, September 04, 2013",2 45 26 9 47 11
2245,"Saturday, August 31, 2013",40 25 7 56 2 20
2244,"Wednesday, August 28, 2013",32 19 7 9 6 13
2243,"Saturday, August 24, 2013",45 17 59 12 25 19
2242,"Wednesday, August 21, 2013",30 48 42 46 40 23
2241,"Saturday, August 17, 2013",18 54 56 21 46 23
2240,"Wednesday, August 14, 2013",17 43 11 4 51 20
2239,"Saturday, August 10, 2013",37 58 14 4 12 13
2238,"Wednesday, August 07, 2013",58 5 25 59 30 32
2237,"Saturday, August 03, 2013",24 36 21 45 42 15
2236,"Wednesday, July 31, 2013",8 24 59 39 49 5
2235,"Saturday, July 27, 2013",58 53 40 23 9 6
2234,"Wednesday, July 24, 2013",44 29 54 40 9 7
2233,"Saturday, July 20, 2013",14 27 58 25 38 6
2232,"Wednesday, July 17, 2013",22 1 42 38 34 17
2231,"Saturday, July 13, 2013",8 37 2 35 22 6
2230,"Wednesday, July 10, 2013",55 45 31 30 59 27
2229,"Saturday, July 06, 2013",52 2 36 35 13 11
2228,"Wednesday, July 03, 2013",40 6 51 29 3 4
2227,"Saturday, June 29, 2013",28 8 56 53 30 16
2226,"Wednesday, June 26, 2013",1 46 39 33 18 33
2225,"Saturday, June 22, 2013",33 57 19 23 13 28
2224,"Wednesday, June 19, 2013",57 47 46 52 7 17
2223,"Saturday, June 15, 2013",48 55 28 40 36 1
2222,"Wednesday, June 12, 2013",22 16 42 23 55 32
2221,"Saturday, June 08, 2013",2 26 11 32 22 19
2220,"Wednesday, June 05, 2013",4 36 26 33 55 32
2219,"Saturday, June 01, 2013",33 53 59 22 28 14
2218,"Wednesday, May 29, 2013",49 14 9 17 57 2
2217,"Saturday, May 25, 2013",27 21 19 6 2 25
2216,"Wednesday, May 22, 2013",31 35 41 9 57 26
2215,"Saturday, May 18, 2013",22 10 13 14 52 11
2214,"Wednesday, May 15, 2013",2 34 11 41 26 32
2213,"Saturday, May 11, 2013",6 23 19 43 13 16
2212,"Wednesday, May 08, 2013",21 57 26 22 30 27
2211,"Saturday, May 04, 2013",26 36 40 7 12 17
2210,"Wednesday, May 01, 2013",31 22 55 26 54 18
2209,"Saturday, April 27, 2013",55 54 48 23 3 5
2208,"Wednesday, April 24, 2013",9 59 31 56 19 2
2207,"Saturday, April 20, 2013",6 39 8 30 48 20
2206,"Wednesday, April 17, 2013",58 18 48 13 36 28
2205,"Saturday, April 13, 2013",10 57 31 12 56 33
2204,"Wednesday, April 10, 2013",40 1 52 36 53 20
2203,"Saturday, April 06, 2013",39 29 4 8 7 24
2202,"Wednesday, April 03, 2013",35 8 12 1 6 3
2201,"Saturday, March 30, 2013",23 46 11 26 55 27
2200,"Wednesday, March 27, 2013",43 48 7 37 52 16
2199,"Saturday, March 23, 2013",29 53 52 17 31 31
2198,"Wednesday, March 20, 2013",43 17 14 13 54 15
2197,"Saturday, March 16, 2013",44 53 7 21 3 16
2196,"Wednesday, March 13, 2013",38 9 32 28 5 29
2195,"Saturday, March 09, 2013",46 52 37 10 40 12
2194,"Wednesday, March 06, 2013",45 10 6 23 41 1
2193,"Saturday, March 02, 2013",56 13 8 41 3 16
2192,"Wednesday, February 27, 2013",48 20 14 34 3 21
2191,"Saturday, February 23, 2013",41 31 39 2 5 29
2190,"Wednesday, February 20, 2013",25 3 32 17 19 17
2189,"Saturday, February 16, 2013",58 16 15 46 50 29
2188,"Wednesday, February 13, 2013",12 43 27 25 23 29
2187,"Saturday, February 09, 2013",58 36 16 6 5 3
2186,"Wednesday, February 06, 2013",36 38 5 27 41 12
2185,"Saturday, February 02, 2013",41 33 16 40 11 34
2184,"Wednesday, January 30, 2013",47 16 14 32 52 16
2183,"Saturday, January 26, 2013",22 49 41 26 3 18
2182,"Wednesday, January 23, 2013",24 43 11 12 45 9
2181,"Saturday, January 19, 2013",29 8 28 34 38 35
2180,"Wednesday, January 16, 2013",51 21 32 28 9 35
2179,"Saturday, January 12, 2013",47 21 23 14 10 7
2178,"Wednesday, January 09, 2013",11 20 13 27 59 26
2177,"Saturday, January 05, 2013",30 49 54 26 51 25
2176,"Wednesday, January 02, 2013",20 18 53 28 35 20
2175,"Saturday, December 29, 2012",55 52 46 50 36 14
2174,"Wednesday, December 26, 2012",54 43 13 11 23 4
2173,"Saturday, December 22, 2012",18 44 35 39 1 11
2172,"Wednesday, December 19, 2012",23 20 5 30 8 3
2171,"Saturday, December 15, 2012",40 23 44 55 15 14
2170,"Wednesday, December 12, 2012",36 25 44 8 10 28
2169,"Saturday, December 08, 2012",23 40 53 26 7 21
2168,"Wednesday, December 05, 2012",27 19 38 13 17 12
2167,"Saturday, December 01, 2012",46 10 3 19 36 3
2166,"Wednesday, November 28, 2012",5 23 16 22 29 6
2165,"Saturday, November 24, 2012",22 32 37 44 50 34
2164,"Wednesday, November 21, 2012",24 30 8 18 39 26
2163,"Saturday, November 17, 2012",15 59 27 58 3 20
2162,"Wednesday, November 14, 2012",44 10 58 8 30 13
2161,"Saturday, November 10, 2012",55 32 50 54 42 32
2160,"Wednesday, November 07, 2012",32 45 34 52 58 20
2159,"Saturday, November 03, 2012",54 4 7 9 30 25
2158,"Wednesday, October 31, 2012",45 31 1 48 27 5
2157,"Saturday, October 27, 2012",34 56 36 32 22 33
2156,"Wednesday, October 24, 2012",18 50 23 3 21 4
2155,"Saturday, October 20, 2012",4 28 31 44 21 10
2154,"Wednesday, October 17, 2012",42 23 10 7 1 35
2153,"Saturday, October 13, 2012",5 2 26 25 49 18
2152,"Wednesday, October 10, 2012",35 18 43 29 26 28
2151,"Saturday, October 06, 2012",36 59 26 15 34 35
2150,"Wednesday, October 03, 2012",55 23 17 59 36 10
2149,"Saturday, September 29, 2012",57 14 29 18 28 8
2148,"Wednesday, September 26, 2012",41 26 42 13 39 10
2147,"Saturday, September 22, 2012",40 42 18 16 2 33
2146,"Wednesday, September 19, 2012",50 1 8 39 5 23
2145,"Saturday, September 15, 2012",43 26 3 20 48 1
2144,"Wednesday, September 12, 2012",48 56 24 36 33 6
